@relation SpotifySongs-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute track_name string
@attribute artist(s)_name string
@attribute artist_count numeric
@attribute released_year numeric
@attribute released_month numeric
@attribute released_day numeric
@attribute in_spotify_playlists numeric
@attribute in_spotify_charts numeric
@attribute streams numeric
@attribute in_apple_playlists numeric
@attribute in_apple_charts numeric
@attribute in_deezer_playlists numeric
@attribute in_deezer_charts numeric
@attribute in_shazam_charts numeric
@attribute bpm numeric
@attribute key {A#,A,B,C#,D#,D,E,F#,F,G#,G,none}
@attribute danceability numeric
@attribute valence numeric
@attribute energy numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute speechiness numeric
@attribute cover_url string
@attribute class {Major,Minor}

@data
Anti-Hero,'Taylor Swift',0,0.989247,0.818182,0.666667,0.171203,0.380952,0.269918,0.360119,0.516364,0.013342,0.155172,0.213646,0.22695,E,0.561644,0.505376,0.613636,0.123711,0,0.170213,0.048387,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Major
TQG,'Karol G  Shakira',0.142857,1,0.090909,0.733333,0.080447,0.333333,0.167118,0.171131,0.447273,0.014878,0.310345,0.24397,0.815603,E,0.671233,0.612903,0.613636,0.690722,0,0.06383,0.419355,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,Minor
'Los del Espacio','Big One  Duki  Lit Killah  Maria Becerra  FMK  Rusherking  Emilia  Tiago pzk',1,1,0.454545,0,0.021166,0.210884,0.033241,0.032738,0.12,0.002749,0.12069,0.126809,0.390071,none,0.794521,0.634409,0.670455,0.113402,0,0.085106,0.032258,'Not Found',Major
'Frï¿½ï¿½gil (feat. Grupo Front','Yahritza Y Su Esencia  Grupo Frontera',0.142857,1,0.272727,0.2,0.012125,0.231293,0.051009,0.028274,0.392727,0.001941,0.155172,0.146106,0.602837,F#,0.520548,0.376344,0.727273,0.381443,0,0.085106,0.016129,'Not Found',Major
'Blank Space','Taylor Swift',0,0.903226,0,0,0.215692,0.360544,0.36609,0.229167,0.447273,0.033153,0.034483,0.055824,0.219858,F,0.712329,0.569892,0.670455,0.092784,0,0.106383,0.064516,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,Major
Style,'Taylor Swift',0,0.903226,0,0,0.147521,0.285714,0.212258,0.139881,0.403636,0.01221,0.068966,0.056513,0.212766,D,0.506849,0.473118,0.795455,0,0,0.095745,0.032258,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,Major
TQM,'Fuerza Regida',0,1,0.363636,0.6,0.01046,0.190476,0.047666,0.02381,0.578182,0.001213,0.103448,0.068918,0.425532,F,0.767123,0.989247,0.863636,0.278351,0,0.085106,0.064516,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d,Minor
'El Azul','Junior H  Peso Pluma',0.142857,1,0.090909,0.3,0.012503,0.170068,0.095708,0.014881,0.389091,0.000485,0.051724,0.042729,0.560284,A,0.452055,0.860215,0.636364,0.237113,0,0.074468,0.064516,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,Minor
'Sunflower - Spider-Man: Into the Spider-Verse','Post Malone  Swae Lee',0.142857,0.946237,0.818182,0.266667,0.455161,0.530612,0.758147,0.553571,0.425455,0.068165,0.068966,0.047553,0.177305,D,0.726027,0.935484,0.465909,0.556701,0,0.042553,0.048387,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,Major
'Im Good (Blue)','Bebe Rexha  David Guetta',0.142857,0.989247,0.636364,0.833333,0.235516,0.544218,0.299531,0.433036,0.669091,0.043422,0.775862,0.501034,0.446809,G,0.452055,0.365591,1,0.041237,0,0.340426,0.032258,'Not Found',Minor
'See You Again','Tyler  The Creator  Kali Uchis',0.285714,0.935484,0.545455,0.666667,0.252634,0.435374,0.282702,0.114583,0.210909,0.019973,0.017241,0.214335,0.099291,F#,0.452055,0.580645,0.534091,0.381443,0,0.085106,0.129032,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,Major
'Barbie World (with Aqua) [From Barbie The Album]','Nicki Minaj  Aqua  Ice Spice',0.285714,1,0.454545,0.733333,0.020542,0.544218,0.017591,0.122024,0.527273,0.005256,0.275862,0.780841,0.560284,none,0.739726,0.763441,0.556818,0.536082,0,0.212766,0.370968,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,Major
'Angels Like You','Miley Cyrus',0,0.967742,0.909091,0.866667,0.063196,0.129252,0.15403,0.096726,0.174545,0.011159,0.017241,0.070296,0.404255,F,0.60274,0.483871,0.625,0.103093,0,0.074468,0.016129,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,Major
'I Aint Worried',OneRepublic,0,0.989247,0.363636,0.4,0.158889,0.517007,0.293119,0.358631,0.461818,0.037034,0.637931,0.228808,0.531915,none,0.657534,0.83871,0.818182,0.113402,0,0.031915,0.048387,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,Major
'Die For You','The Weeknd',0,0.924731,0.909091,0.766667,0.046381,0.401361,0.444934,0.10119,0.076364,0.001941,0,0.178498,0.489362,C#,0.493151,0.505376,0.488636,0.092784,0,0.12766,0.080645,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,Minor
Starboy,'The Weeknd  Daft Punk',0.142857,0.924731,0.727273,0.666667,0.558099,0.537415,0.692657,0.418155,0.498182,0.197704,0.017241,0.096485,0.858156,G,0.616438,0.483871,0.568182,0.164948,0,0.106383,0.419355,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,Major
'Die For You - Remix','Ariana Grande  The Weeknd',0.142857,1,0.090909,0.766667,0.063877,0.319728,0.140053,0.129464,0.312727,0.005984,0.017241,0.011027,0.014184,C#,0.410959,0.494624,0.5,0.237113,0,0.43617,0.080645,'Not Found',Minor
'El Cielo','Feid  Myke Towers  Sky Rompiendo',0.285714,1,0.454545,0.033333,0.023966,0.258503,0.029091,0.065476,0.232727,0.004609,0.172414,0.07581,0.29078,A#,0.671233,0.139785,0.625,0.072165,0,0.074468,0.048387,'Not Found',Minor
'Baby Dont Hurt Me','David Guetta  Anne-Marie  Coi Leray',0.285714,1,0.272727,0.166667,0.080315,0.44898,0.047987,0.215774,0.403636,0.017223,0.189655,0.558236,0.446809,G,0.506849,0.204301,0.931818,0,0,0.095745,0.016129,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,Major
AMARGURA,'Karol G',0,1,0.090909,0.766667,0.020845,0.265306,0.041408,0.020833,0.258182,0.00186,0.172414,0.121296,0.297872,F#,0.945205,0.548387,0.693182,0.185567,0,0.12766,0.080645,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,Minor
'(It Goes Like) Nanana - Edit','Peggy Gou',0,1,0.454545,0.466667,0.042143,0.401361,0.015625,0,0,0.008814,0.293103,0,0.460993,G,0.60274,0.989247,0.897727,0.123711,0.208791,0.053191,0.032258,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522,Minor
'Another Love','Tom Odell',0,0.88172,0.818182,0.466667,0.346908,0.564626,0.489666,0.372024,0.443636,0.27444,0.327586,0,0.411348,E,0.30137,0.096774,0.511364,0.721649,0,0.06383,0.032258,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,Minor
'Blinding Lights','The Weeknd',0,0.956989,0.909091,0.933333,0.82978,0.469388,1,1,0.723636,0.276623,0.344828,0,0.751773,C#,0.369863,0.365591,0.806818,0,0,0.06383,0.080645,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,Major
Moonlight,'Kali Uchis',0,1,0.090909,0.766667,0.04952,0.285714,0.069246,0.099702,0.287273,0.004609,0.017241,0.423846,0.510638,G,0.561644,0.903226,0.715909,0.525773,0,0.148936,0.048387,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,Minor
'La Bachata','Manuel Turizo',0,0.989247,0.363636,0.833333,0.128114,0.306122,0.327785,0.206845,0.403636,0.013019,0.258621,0.144728,0.425532,G,0.835616,0.870968,0.670455,0.597938,0,0.202128,0.032258,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,Minor
S91,'Karol G',0,1,0.545455,0.433333,0.009344,0.278912,0.004322,0.050595,0.418182,0.003154,0.103448,0.148863,0.446809,none,0.863014,0.408602,0.715909,0.608247,0,0.06383,0.274194,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e,Minor
cardigan,'Taylor Swift',0,0.967742,0.545455,0.766667,0.14928,0.197279,0.219233,0.157738,0.407273,0.011482,0.068966,0.148174,0.460993,none,0.520548,0.526882,0.556818,0.56701,0,0.255319,0.032258,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,Minor
Tï¿½ï¿,'dennis  MC Kevin o Chris',0.142857,1,0.363636,0.1,0.013241,0.102041,0.030224,0.040179,0.061818,0.005903,0.068966,0.115093,0.460993,B,0.863014,0.591398,0.988636,0.515464,0.010989,0.06383,0.048387,'Not Found',Major
'Boys a liar Pt. 2','PinkPantheress  Ice Spice',0.142857,1,0.090909,0.066667,0.097471,0.278912,0.042209,0.229167,0.305455,0.008248,0.241379,0.0255,0.48227,F,0.643836,0.88172,0.818182,0.257732,0,0.234043,0.048387,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,Major
'Left and Right (Feat. Jung Kook of BTS)','Charlie Puth  BTS  Jung Kook',0.285714,0.989247,0.454545,0.766667,0.058184,0.265306,0.194507,0.056548,0,0.000323,0,0,0.255319,D,0.890411,0.731183,0.568182,0.639175,0,0.06383,0.016129,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,Major
BESO,'Rauw Alejandro  ROSALï¿½',0.142857,1,0.181818,0.766667,0.076078,0.340136,0.096634,0.122024,0.44,0.014717,0.206897,0.11785,0.212766,F,0.739726,0.526882,0.625,0.762887,0,0.148936,0.193548,'Not Found',Minor
'Hey Mor','Ozuna  Feid',0.142857,0.989247,0.818182,0.166667,0.087124,0.258503,0.18199,0.09375,0.287273,0.007197,0.189655,0.011027,0.234043,C#,0.917808,0.387097,0.568182,0,0,0.074468,0.435484,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,Minor
Yellow,'Chris Molitor',0,0.741935,0,0,0.592562,0.292517,0.473883,0.291667,0.007273,0.327727,0.086207,0,0.765957,B,0.273973,0.258065,0.647727,0,0,0.212766,0.016129,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,Major
Karma,'Taylor Swift',0,0.989247,0.818182,0.666667,0.071633,0.156463,0.109226,0.05506,0.2,0.002588,0,0.187457,0.177305,G#,0.561644,0.064516,0.602273,0.072165,0,0.478723,0.080645,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Major
People,Libianca,0,0.989247,1,0.033333,0.065731,0.380952,0.100758,0.15625,0.232727,0.013665,0.137931,0.364576,0.943262,A#,0.493151,0.72043,0.375,0.56701,0,0.074468,0.080645,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,Minor
Overdrive,'Post Malone',0,1,0.545455,0.433333,0.007169,0.244898,0.00399,0.053571,0.116364,0.002507,0.017241,0.017919,0.531915,C#,0.452055,0.473118,0.727273,0,0,0.340426,0.032258,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,Major
'Enchanted (Taylors Version)','Taylor Swift',0,1,0.545455,0.2,0.002213,0.163265,0.010685,0.047619,0.338182,0.000647,0.034483,0.003446,0.120567,G#,0.383562,0.193548,0.5,0.010309,0,0.12766,0.016129,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,Major
'BABY HELLO','Rauw Alejandro  Bizarrap',0.142857,1,0.454545,0.733333,0.018405,0.238095,0.01465,0.0625,0.290909,0.00469,0.051724,0.116471,0.460993,C#,0.739726,0.860215,0.909091,0.175258,0,0.425532,0.048387,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,Minor
'Heat Waves','Glass Animals',0,0.967742,0.454545,0.9,0.425823,0.428571,0.690618,0.574405,0.523636,0.057168,0.482759,0,0.113475,B,0.726027,0.526882,0.5,0.453608,0,0.06383,0.112903,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,Major
'golden hour',JVKE,0,0.989247,0.545455,0.466667,0.084741,0.244898,0.202795,0.104167,0.210909,0.008814,0.310345,0.158511,0.205674,C#,0.383562,0.107527,0.568182,0.670103,0.197802,0.234043,0.016129,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,Minor
'Sweater Weather','The Neighbourhood',0,0.88172,0.363636,0.433333,0.309872,0.414966,0.616316,0.247024,0.316364,0.085389,0.017241,0,0.41844,A#,0.520548,0.397849,0.818182,0.051546,0.021978,0.074468,0.016129,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,Major
'\'Quevedo: Bzrp Music Sessions, Vol. 52\'','Bizarrap  Quevedo',0.142857,0.989247,0.545455,0.166667,0.160308,0.306122,0.366253,0.139881,0.236364,0.013261,0.241379,0.121296,0.446809,D,0.534247,0.548387,0.784091,0.010309,0.032967,0.212766,0.032258,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,Major
'Viva La Vida',Coldplay,0,0.83871,0,0,0.640608,0.421769,0.430063,0.346726,0,0.331123,0.155172,0,0.51773,F,0.356164,0.408602,0.602273,0.092784,0,0.085106,0.016129,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,Minor
'Here With Me',d4vd,0,0.989247,0.545455,0.533333,0.060813,0.156463,0.171552,0.139881,0.309091,0.005499,0.017241,0.057891,0.475177,E,0.479452,0.247312,0.443182,0.515464,0,0.095745,0.016129,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,Major
'Unholy (feat. Kim Petras)','Sam Smith  Kim Petras',0.142857,0.989247,0.727273,0.7,0.161632,0.285714,0.332265,0.321429,0.392727,0.026765,0.448276,0.106134,0.468085,D,0.657534,0.215054,0.431818,0.010309,0,0.255319,0.112903,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,Major
'Yandel 150','Yandel  Feid',0.142857,0.989247,1,0.633333,0.06785,0.258503,0.158129,0.06994,0.269091,0.006469,0.241379,0.133701,0.730496,F#,0.753425,0.580645,0.727273,0.051546,0,0.074468,0.080645,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,Minor
'CORAZï¿½ï¿½N VA','Maria Becerra',0,1,0.454545,0.7,0.006412,0.136054,0.01184,0.017857,0.058182,0.001455,0.068966,0.064094,0.234043,C#,0.616438,0.387097,0.795455,0.340206,0,0.287234,0.064516,'Not Found',Major
Riptide,'Vance Joy',0,0.483871,0,0,0.588117,0.37415,0.542427,0.446429,0.236364,0.081103,0.017241,0,0.262411,C#,0.342466,0.494624,0.727273,0.443299,0,0.12766,0.032258,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,Major
'Until I Found You (with Em Beihold) - Em Beihold Version','Em Beihold  Stephen Sanchez',0.142857,0.989247,0.272727,0.7,0.052188,0.204082,0.162255,0.089286,0.349091,0.005741,0,0.079256,0.255319,A#,0.150685,0.301075,0.545455,0.804124,0,0.180851,0.016129,'Not Found',Major
'Novidade na ï¿½ï¿','Mc Livinho  DJ Matt D',0.142857,1,0.454545,0.733333,0.004464,0.061224,0.01072,0.013393,0.021818,0.002022,0.034483,0.049621,0.460993,F,0.547945,0.344086,0.284091,0.783505,0,0.340426,0.112903,'Not Found',Major
'Back To December (Taylors Version)','Taylor Swift',0,1,0.545455,0.2,0.002043,0.115646,0.010591,0.02381,0.261818,0.000404,0,0.005513,0.546099,D,0.369863,0.172043,0.625,0.010309,0,0.095745,0.016129,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,Major
'STAY (with Justin Bieber)','Justin Bieber  The Kid Laroi',0.142857,0.978495,0.545455,0.266667,0.321921,0.244898,0.719605,0.732143,0.36,0.064527,0.534483,0,0.744681,C#,0.493151,0.473118,0.761364,0.041237,0,0.074468,0.048387,'Not Found',Major
